heteriske_code,heteriske_name,chp_number,chp_match_name,chp_confidence,registry_status,registry_official_name,registry_entity_type,registry_biz_type,registry_status_raw,error
1074,"אפי קפיטל עמרם אברהם קריית גת בע""מ",515924926,"אפי קפיטל עמרם אברהם קריית גת בע""מ",exact,פעילה,"אפי קפיטל עמרם אברהם קריית גת  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1075,"אפי קפיטל פרוייקטים בע""מ",515837276,"אפי קפיטל פרוייקטים בע""מ",exact,פעילה,"אפי קפיטל פרוייקטים  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1079,"בלו-אי טכנולוגיות מים בע""מ",513484675,"בלו-אי טכנולוגיות מים בע""מ",exact,פעילה,"בלו-אי טכנולוגיות מים בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1080,"בראל אפי קפיטל בע""מ",515851731,"בראל אפי קפיטל בע""מ",exact,פעילה,"בראל אפי קפיטל  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1145,"יאדיר תורה בנגב בע""מ",514062827,"יאדיר תורה בנגב בע""מ (חל""ץ)",fuzzy,פעילה,"יאדיר תורה בנגב בע""מ (חל""ץ)",company,"חברה פרטית - בע""מ",פעילה,
853,"כספא סליקה כשרה בע""מ",517066940,"כספא סליקה כשרה בע""מ",exact,פעילה,"כספא סליקה כשרה בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1139,"משכן התורה נתיבות (ע""ר)",580400323,"משכן התורה נתיבות (ע""ר)",exact,פעילה,"משכן התורה נתיבות (ע""ר)",association,עמותה רשומה,רשומה,
1143,"נטעי ראובן (ע""ר)",580356947,"נטעי ראובן (ע""ר)",exact,פעילה,"נטעי ראובן (ע""ר)",association,עמותה רשומה,רשומה,
1144,"נתיבות ראובן יוסף (ע""ר)",580077865,"נתיבות ראובן יוסף (ע""ר)",exact,פעילה,"נתיבות ראובן יוסף (ע""ר)",association,עמותה רשומה,רשומה,
1107,"מגדלור קרן השקעות שירותי ניהול בע""מ",516284387,"מגדלור קרן השקעות 2 - שירותי ניהול בע""מ",fuzzy,פעילה,"מגדלור קרן השקעות 2 - שירותי ניהול  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1053,"א.י קרן גשרים אשראי בע""מ",512848110,"א.י קרן גשרים אשראי בע""מ",exact,פעילה,"א.י קרן גשרים אשראי  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1158,"מי כרמל בע""מ",513531046,"מי כרמל בע""מ",exact,פעילה,"מי כרמל בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1157,"פיינסטר בע""מ",515781003,"פיינסטר בע""מ",exact,פעילה,"פיינסטר  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1063,"אנ""ש משכנתאות ופתרונות אשראי חכמים בע""מ",516078797,"אנ""ש משכנתאות ופתרונות אשראי חכמים בע""מ",exact,פעילה,"אנ""ש משכנתאות ופתרונות אשראי חכמים  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1147,"ארבל ב.ש. פתרונות מימון ומשכנתאות בע""מ",516214723,"ארבל ב.ש. פתרונות מימון ומשכנתאות בע""מ",exact,פעילה,"ארבל ב.ש. פתרונות מימון ומשכנתאות  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
852,"שמואל ברוך יזמות ובניה בע""מ",512403247,"שמואל ברוך יזמות ובניה בע""מ",exact,פעילה,"שמואל ברוך  יזמות ובניה  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1054,"אבי בן רפאל יעוץ והדרכה לבטיחות בדרכים בע""מ",515004943,"אבי בן רפאל יעוץ והדרכה לבטיחות בדרכים בע""מ",exact,פעילה,"אבי בן רפאל יעוץ והדרכה לבטיחות בדרכים בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1102,"יעקב בן יוסף מערכות תקשורת מתקדמות בע""מ",516173366,"יעקב בן יוסף מערכות תקשורת מתקדמות בע""מ",exact,פעילה,"יעקב בן יוסף מערכות תקשורת מתקדמות  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
