heteriske_code,heteriske_name,chp_number,our_name,status,name_accurate,chp_verified
1088,"דלקל אחזקות 2009 בע""מ",514338250,"דלקל אחזקות 2009 בע""מ",מדויק,True,True
1089,"דלקל גז בע""מ",514864826,"דלקל גז בע""מ",מדויק,True,True
1136,"דלקל דקלים בע""מ",,,לא ידוע - לא נפתר מול המאגר שלנו,,
1137,"דלקל מואס גז בע""מ",516108099,"דלקל מואס גז בע""מ",מדויק,True,True
1135,"דלקל נכסים (2015) בע""מ",515138998,"דלקל נכסים (2015) בע""מ",מדויק,True,True
1090,"דלקלומט בע""מ",513492595,"דלקלומט בע""מ",מדויק,True,True
1148,"טי.סי.אי תמ""א במרכז בע""מ",,,לא ידוע - לא נפתר מול המאגר שלנו,,
1100,"י.א.מ.א. מרגליות פיתוח בע""מ",513522615,"י.א.מ.א. מרגליות פיתוח בע""מ",מדויק,True,True
1101,"ים הדר סוכנות לביטוח (2017) בע""מ",515702728,"ים הדר סוכנות לביטוח ( 2017 ) בע""מ",מדויק,True,True
854,"ירוחם תיווך ויזמות בע""מ",,,לא ידוע - לא נפתר מול המאגר שלנו,,
872,מגה פון,,,לא ידוע - לא נפתר מול המאגר שלנו,,
1149,"פנחס 70 רמת גן בע""מ",515423267,"פנחס 70 רמת גן בע""מ",מדויק,True,True
1150,"פרסונל אינווסט בע""מ",515947828,"פרסונל אינווסט בע""מ",מדויק,True,True
1151,"פרסונל אנד מור סוכנות לביטוח ותכנון פנסיוני (2018) בע""מ",515820751,"פרסונל אנד מור סוכנות לביטוח ותכנון פנסיוני (2018) בע""מ",מדויק,True,True
1152,"פרסונל יזמות מ.ל. בע""מ",516022167,"פרסונל יזמות מ.ל. בע""מ",מדויק,True,True
1155,"תשתיות השרון מ.ל בע""מ",516038874,"תשתיות השרון מ.ל בע""מ",מדויק,True,True
850,"סילבר ג.י. ניהול בע""מ",515572212,"סילבר ג.י. ניהול בע""מ",מדויק,True,True
848,"שרי את אלכס השקעות וניהול פרוייקטים בע""מ",513998435,"שרי את אלכס השקעות וניהול פרוייקטים בע""מ",מדויק,True,True
862,"אורנשטיין ניהול וביצוע פרוייקטים בע""מ",514637354,"אורנשטיין - ניהול וביצוע פרוייקטים בע""מ",מדויק,True,True
860,"אפיקי מים נתיבות ע""ר",,,לא ידוע - לא נפתר מול המאגר שלנו,,
859,"ארד בע""מ",510007800,ארד בעמ,מדויק,True,True
1081,"ג.מ.נ. שיווק לבניה בע""מ",514693761,"ג.מ.נ. שיווק לבניה בע""מ",מדויק,True,True
1164,"סונול גז פלוס בע""מ",515916542,"סונול גז פלוס בע""מ",מדויק,True,True
873,Shower top,,,לא ידוע - לא נפתר מול המאגר שלנו,,
1048,א. זלוצ'בסקי,,,לא ידוע - לא נפתר מול המאגר שלנו,,
863,"אברהם זילברברג בניה ויזום בע""מ",516734472,"אברהם זילברברג בניה ויזום בע""מ",מדויק,True,True
1095,"הדרום בפריחה ערד (ע""ר)",580648772,"הדרום בפריחה - ערד (ע""ר)",מדויק,True,True
1099,טוליפ,,,לא ידוע - לא נפתר מול המאגר שלנו,,
1104,"לנד א.י בע""מ",516118163,"לנד א.י בע""מ",מדויק,True,True
1108,"מוסדות חסידי בעלז בני-ברק (ע""ר)",580031680,"מוסדות חסידי בעלזא בני-ברק (ע""ר)",קירוב - השם ב-heteriske שונה מהשם במאגר שלנו,False,True
1109,מחסני המזון,,,לא ידוע - לא נפתר מול המאגר שלנו,,
1110,מיגון ישראל,,,לא ידוע - לא נפתר מול המאגר שלנו,,
1167,ניהוז,,,לא ידוע - לא נפתר מול המאגר שלנו,,
1163,"פשוט לעזור לערד (ע""ר)",580599728,"פשוט לעזור לערד (ע""ר)",מדויק,True,True
1161,קלאסי שוז,,,לא ידוע - לא נפתר מול המאגר שלנו,,
861,"אלסקה פרקמטיא בע""מ",515108413,"אלסקה פרקמטיא בע""מ",מדויק,True,True
1078,"בית דוד בית שמש (ע""ר)",580572782,"בית דוד בית שמש (ע""ר)",מדויק,True,True
871,"מגורי ביתר שי עולמות בע""מ",516768744,"מגורי ביתר שי עולמות בע""מ",מדויק,True,True
